qtype,question,qcode,group,ID,Nametag,Correct,E1,Diff,C1,GC1,E2,C2,Mostaccurate,AEE1i,AEE2i,Ii,Prediction,Instruct
distances,Petersburg,29,281,42815,1,3759,7000,7,1,6,6500,2,3,3241,2741,1,5,1
distances,Petersburg,29,281,47591,2,3759,2450,6,2,6,4850,3,3,1309,1091,1,6,1
distances,Petersburg,29,281,43109,3,3759,1000,6,2,4,5500,4,1,2759,1741,1,5,1
distances,Petersburg,29,281,50032,4,3759,4000,5,2,5,6500,5,3,241,2741,0,6,1
distances,Petersburg,29,282,47570,1,3759,750,6,2,6,3000,3,4,3009,759,1,5,1
distances,Petersburg,29,282,51840,2,3759,300,5,2,4,1000,5,1,3459,2759,1,5,1
distances,Petersburg,29,282,47117,3,3759,7000,3,3,5,6000,5,1,3241,2241,1,5,1
distances,Petersburg,29,282,46689,4,3759,3000,6,2,6,4000,2,3,759,241,1,5,1
distances,Petersburg,29,283,51826,1,3759,650,6,2,5,900,5,2,3109,2859,1,6,1
distances,Petersburg,29,283,48134,2,3759,10000,7,1,7,600,1,1,6241,3159,1,6,1
distances,Petersburg,29,283,46170,3,3759,5000,6,1,6,500,5,1,1241,3259,0,6,1
distances,Petersburg,29,284,51154,1,3759,8250,7,2,5,8000,2,3,4491,4241,1,3,1
distances,Petersburg,29,284,51845,2,3759,8734,6,2,4,8250,2,1,4975,4491,1,3,1
distances,Petersburg,29,284,45833,3,3759,3000,5,3,3,8000,5,1,759,4241,0,6,1
distances,Petersburg,29,284,48560,4,3759,10000,7,1,5,8000,2,2,6241,4241,1,5,1
distances,Petersburg,29,285,45091,1,3759,4600,6,1,3,3600,1,2,841,159,1,5,1
distances,Petersburg,29,285,50997,2,3759,3500,5,2,5,2500,5,1,259,1259,0,5,1
distances,Petersburg,29,285,51851,3,3759,2200,6,2,5,3150,2,2,1559,609,1,5,1
distances,Petersburg,29,285,48921,4,3759,5000,6,2,5,2500,5,2,1241,1259,0,7,1
distances,Petersburg,29,286,51857,1,3759,5000,7,1,7,2000,5,3,1241,1759,0,7,1
distances,Petersburg,29,286,47717,3,3759,"3,000",6,2,3,3000,3,4,759,759,0,4,1
distances,Petersburg,29,286,51062,4,3759,2000,6,1,7,3000,6,3,1759,759,1,5,1
distances,Petersburg,29,286,49252,5,3759,8100,7,2,4,3500,6,3,4341,259,1,5,1
distances,Petersburg,29,287,50182,1,3759,7500,6,2,5,7500,6,3,3741,3741,0,4,1
distances,Petersburg,29,287,50091,2,3759,6000,3,5,4,7500,4,3,2241,3741,0,6,1
distances,Petersburg,29,287,47314,3,3759,9000,4,4,4,7500,4,3,5241,3741,1,4,1
distances,Petersburg,29,287,46351,4,3759,6000,6,2,5,7500,5,3,2241,3741,0,6,1
distances,LA,30,241,51828,1,2558,800,4,4,5,2500,6,2,1758,58,1,7,0
distances,LA,30,241,51052,2,2558,7000,5,3,5,2500,5,3,4442,58,1,7,0
distances,LA,30,241,51814,3,2558,4000,5,3,5,2500,4,2,1442,58,1,5,0
distances,LA,30,241,45709,4,2558,3000,5,5,5,3750,4,3,442,1192,0,5,0
distances,LA,30,242,49421,2,2558,1500,7,1,7,2650,5,1,1058,92,1,5,0
distances,LA,30,242,50996,3,2558,2000,3,5,6,2100,5,1,558,458,1,5,0
distances,LA,30,242,51832,4,2558,4500,3,3,4,3000,4,1,1942,442,1,3,0
distances,LA,30,243,51694,1,2558,"1,000",5,2,7,900,5,2,1558,1658,0,5,0
distances,LA,30,243,45810,2,2558,900,3,3,3,950,3,1,1658,1608,1,4,0
distances,LA,30,243,48015,3,2558,800,4,4,5,900,5,2,1758,1658,1,6,0
distances,LA,30,244,51235,1,2558,2000,3,5,6,2300,5,2,558,258,1,5,0
distances,LA,30,244,40710,2,2558,1800,5,3,5,2200,5,1,758,358,1,5,0
distances,LA,30,244,43255,3,2558,2500,4,5,6,2200,7,1,58,358,0,5,0
distances,LA,30,244,47453,4,2558,2500,5,2,7,2500,6,3,58,58,0,6,0
distances,LA,30,245,42915,1,2558,3000,4,5,6,2500,4,4,442,58,1,5,0
distances,LA,30,245,48697,2,2558,500,5,4,6,1700,5,4,2058,858,1,7,0
distances,LA,30,245,44253,4,2558,1000,6,2,2,1650,2,1,1558,908,1,5,0
distances,LA,30,246,49231,1,2558,500,5,2,2,3000,4,4,2058,442,1,5,0
distances,LA,30,246,46618,3,2558,3000,4,4,1,3000,1,4,442,442,0,4,0
distances,LA,30,246,44272,4,2558,2500,5,3,5,2100,5,3,58,458,0,4,0
distances,LA,30,247,45908,1,2558,3200,7,2,2,2600,2,4,642,42,1,5,0
distances,LA,30,247,46076,2,2558,2000,7,1,3,2000,1,4,558,558,0,4,0
distances,LA,30,247,50455,3,2558,1500,5,3,5,1500,5,2,1058,1058,0,4,0
