qtype,question,qcode,group,ID,Correct,E1,Diff,C1,Cb1,Cx1,GC1,GCb1,Relative,E2,C2,Cb2,Cx2,GC2,GCb2,Rely,AEE1i,AEE2i,Ii
dates,Penn,1,36,46881,1740,1815,4,5,5,3,6,6,3,1742,7,7,1,7,7,6,75,2,1
dates,Penn,1,36,47056,1740,1740,3,5,7,2,5,3,4,1742,6,7,2,6,3,4,0,2,0
dates,Penn,1,36,48146,1740,1744,4,4,4,4,5,5,4,1744,6,6,3,4,4,4,4,4,0
dates,Penn,1,36,50579,1740,1763,5,3,5,5,6,5,3,1742,6,5,3,7,7,6,23,2,1
dates,Penn,1,37,43924,1740,1796,5,5,5,2,5,5,4,1740,7,7,1,7,7,7,56,0,1
dates,Penn,1,37,45194,1740,1806,5,5,6,1,5,5,6,1742,6,7,1,5,5,5,66,2,1
dates,Penn,1,37,45577,1740,1740,4,4,4,4,4,4,4,1740,4,4,4,4,4,4,0,0,0
dates,Penn,1,37,45632,1740,1762,5,5,5,3,7,7,3,1740,7,7,2,7,7,7,22,0,1
dates,Penn,1,37,50515,1740,1780,2,6,6,6,7,6,4,1740,7,7,7,6,6,1,40,0,1
dates,Penn,1,38,741,1740,1770,6,2,2,5,2,5,3,1790,5,5,3,5,5,6,30,50,0
dates,Penn,1,38,42453,1740,1785,3,5,7,1,6,5,3,1790,7,7,1,5,5,3,45,50,0
dates,Penn,1,38,42705,1740,1790,5,3,6,2,7,5,3,1790,5,6,2,4,1,2,50,50,0
dates,Penn,1,38,49585,1740,1800,6,2,5,3,6,6,2,1790,5,5,2,5,5,6,60,50,1
dates,Penn,1,39,42880,1740,1792,5,2,6,3,6,5,3,1746,6,6,5,7,6,7,52,6,1
dates,Penn,1,39,48580,1740,1724,5,5,6,2,7,7,5,1746,5,6,5,7,7,4,16,6,1
dates,Penn,1,39,48756,1740,1902,5,2,2,6,6,5,1,1746,6,6,6,6,6,7,162,6,1
dates,Penn,1,39,49976,1740,1753,3,6,6,2,4,2,4,1746,6,6,1,6,5,5,13,6,1
dates,Declaration,2,1,45177,1776,1776,3,5,5,5,7,7,3,1776,7,7,7,4,4,1,0,0,0
dates,Declaration,2,1,46018,1776,1765,2,5,7,1,7,5,4,1776,7,7,1,7,6,7,11,0,1
dates,Declaration,2,1,46587,1776,1776,3,6,6,3,4,3,4,1776,7,7,2,2,1,3,0,0,0
dates,Declaration,2,1,50379,1776,1774,3,5,7,1,6,2,4,1776,7,7,1,7,2,5,2,0,1
dates,Declaration,2,2,42930,1776,1776,3,6,6,1,6,3,4,1776,7,7,1,1,2,2,0,0,0
dates,Declaration,2,2,48799,1776,1776,3,5,7,2,7,5,4,1776,7,7,1,4,4,2,0,0,0
dates,Declaration,2,2,50367,1776,1776,1,6,7,1,2,2,4,1776,2,2,1,2,2,1,0,0,0
dates,Declaration,2,3,46341,1776,1868,6,3,5,3,5,5,3,1776,6,6,2,6,6,6,92,0,1
dates,Declaration,2,3,47512,1776,1776,1,7,7,1,4,1,4,1776,7,7,1,4,1,1,0,0,0
dates,Declaration,2,3,50499,1776,1776,1,6,6,4,4,4,4,1776,6,6,4,4,4,1,0,0,0
dates,Declaration,2,4,27005,1776,1776,5,3,4,4,6,6,4,1776,4,4,4,4,2,4,0,0,0
dates,Declaration,2,4,28908,1776,1776,3,5,5,3,5,3,4,1776,5,5,3,3,3,1,0,0,0
