task,trial,network,pre_influence,post_influence,individual_error,mean_individual_change,crowd_pre_influence,crowd_post_influence,mean_group_change
2,no081114_1142,Control,2000,231689,4.752248774567976,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,100000,100,-2.9210775937292883,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,50,130,-0.9555114450274365,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,100,220,-0.7884573603642699,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,220,238,-0.07864312731911327,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,750,555,0.25797673695224044,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,80,300,-1.3217558399823193,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,300,450,-0.40546510810816433,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,400000000,450000000,0.11778303565638204,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,2823,1475,-0.6491421594795693,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,200,500,-0.9162907318741549,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081114_1142,Control,300,600,-0.6931471805599453,-0.3001234999389719,2.640393336107877,2.340269836168905,-0.30012349993897214
2,no081118_1545,Control,250,250,0,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,2000,2000,0,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,500,300,0.5108256237659907,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,400,475,-0.171850256926659,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,750,666,0.07565518015828585,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,700,700,0,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,1000,1100,0.09531017980432488,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,200,300,-0.4054651081081643,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,250,280,-0.11332868530700324,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,290,210,0.322773392263051,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,350,530,-0.4149438520627081,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081118_1545,Control,1500,1200,-0.22314355131420988,-0.027013923143924336,0.684148432191071,0.6571345090471467,-0.027013923143924368
2,no081120_1536,Control,700,720,-0.02817087696669639,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,500,700,-0.336472236621213,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,12000,330,-1.9947365260016323,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,200,350,-0.5596157879354227,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,300,240,0.2231435513142096,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,250,220,0.12783337150988494,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,50,250,-1.6094379124341005,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,350,925,-0.5092911652331465,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,60000,500,-4.019689882397398,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,350,350,0,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,700,4500,1.7658949535727846,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
2,no081120_1536,Control,100,164,-0.49469624183610694,-0.6196032294190698,1.4257870809109883,0.8061838514919184,-0.6196032294190699
3,aggregated081113_1411,Social,10000,10000,0,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,2600,3620,-0.3309625808102432,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,3,6000,-7.600902459542083,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,65000,8385,-1.6823061696762367,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,5000,8000,-0.4700036292457356,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,25600,8290,-0.7391168251381479,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,10000,6000,0.5108256237659907,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,10000,9600,0.040821994520255034,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,9000,13000,0.14364843930318355,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,20000,8563,-0.5246573741034735,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,700,2500,-1.2729656758128876,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081113_1411,Social,1000,9500,-2.2512917986064953,-1.181409204612156,1.563681425157644,0.38227222054548804,-1.181409204612156
3,aggregated081114_1142,Social,863,15464,-2.0273513414872517,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,20845,4512,0.07467086996605454,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,3000,70000,0.728582035222896,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,20000,35000,0.5596157879354228,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,600,1200,-0.693147180559945,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,125000,12500,-2.3025850929940455,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,10000,22000,0.775102050857789,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,15000,12000,-0.22314355131420974,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,120000,10000,-2.471551340281519,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,8732,14000,0.1875262728083836,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,30000,60000,0.6931471805599454,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081114_1142,Social,5000,3000,0.5108256237659907,-0.34902572379337404,1.2698696605513509,0.9208439367579767,-0.34902572379337415
3,aggregated081118_1545,Social,1000,5000,-1.6094379124341003,-0.8152398461022603,1.2584859619403035,0.4432461158380433,-0.8152398461022602
3,aggregated081118_1545,Social,10000,8000,0.22314355131420974,-0.8152398461022603,1.2584859619403035,0.4432461158380433,-0.8152398461022602
